,Date,Open,High,Low,Close,Volume
0,2021-11-06,411.33,420.33,416.29,415.13,163.1101
1,2021-11-05,414.81,433.83,431.88,416.38,844.2028
2,2021-11-04,421.11,465.07,455.69,430.78,1265.273
3,2021-11-03,422.99,458.81,424.39,455.58,2002.2703
4,2021-11-02,410.96,432.02,418.51,424.39,1357.8783
5,2021-11-01,396.0,423.12,408.5,417.24,1139.4995
6,2021-10-31,402.86,420.64,409.42,409.46,1285.7922
7,2021-10-30,407.03,459.96,453.8,409.44,2196.1081
8,2021-10-29,441.77,465.04,456.29,453.72,1156.3993
9,2021-10-28,414.68,457.67,414.68,456.29,1291.1942
10,2021-10-27,414.65,467.22,428.28,414.65,3471.2179
11,2021-10-26,404.8,524.0,405.19,426.44,3349.0293
12,2021-10-25,394.5,410.71,398.52,405.29,948.6818
13,2021-10-24,391.8,423.41,420.72,398.52,800.9793
14,2021-10-23,403.18,420.81,404.1,420.81,600.4233
15,2021-10-22,404.11,423.81,411.93,405.68,1063.4698
16,2021-10-21,405.85,439.98,419.57,412.11,1054.4447
17,2021-10-20,405.31,424.09,410.33,419.57,992.8533
18,2021-10-19,400.0,415.45,407.16,410.32,1031.5424
19,2021-10-18,399.93,440.0,403.1,406.21,1903.0797
20,2021-10-17,391.7,419.88,409.23,407.12,1351.8374
21,2021-10-16,406.0,429.26,425.85,409.17,1042.0349
22,2021-10-15,383.5,461.6,389.96,425.85,2523.5797
23,2021-10-14,384.63,412.42,405.95,390.08,1617.7529
24,2021-10-13,379.0,410.53,384.28,404.83,1606.9793
25,2021-10-12,370.42,396.85,393.47,384.84,855.3567
26,2021-10-11,390.0,408.88,395.7,396.8,659.2029
27,2021-10-10,395.0,423.92,422.54,396.15,682.7196
28,2021-10-09,418.17,430.85,425.32,423.92,591.6788
29,2021-10-08,413.15,441.83,413.15,426.03,1147.1232
30,2021-10-07,399.99,430.0,418.04,413.97,1579.2171
31,2021-10-06,402.27,437.0,425.24,418.67,1565.9823
32,2021-10-05,407.48,427.73,413.52,427.32,1394.9053
33,2021-10-04,399.38,424.63,420.98,413.52,1687.3762
34,2021-10-03,419.38,443.16,436.1,420.63,1018.9285
35,2021-10-02,423.67,451.02,437.1,436.1,2383.0878
36,2021-10-01,358.81,543.24,359.87,437.1,5406.23
37,2021-09-30,338.05,372.5,338.27,358.88,1602.3132
38,2021-09-29,331.01,355.81,337.61,338.46,819.0529
39,2021-09-28,333.99,357.3,347.47,335.62,1238.841
40,2021-09-27,347.04,393.76,356.7,348.26,1264.3978
41,2021-09-26,330.26,382.32,361.06,356.8,1378.2516
42,2021-09-25,355.81,379.3,366.88,360.79,677.6694
43,2021-09-24,350.0,407.73,406.35,366.88,1123.8206
44,2021-09-23,381.66,426.63,393.7,406.39,1507.9523
45,2021-09-22,349.62,400.0,351.16,394.18,2555.408
46,2021-09-21,346.17,417.95,394.91,351.15,2753.0328
47,2021-09-20,390.0,456.17,451.96,393.93,2990.7726
48,2021-09-19,450.02,486.18,471.94,451.97,882.6394
49,2021-09-18,461.12,487.8,466.44,471.94,1098.5264
50,2021-09-17,458.21,494.31,489.28,466.11,1392.5997
51,2021-09-16,484.59,536.2,511.08,489.36,1701.1713
52,2021-09-15,451.0,580.0,473.0,511.08,6734.2403
53,2021-09-14,409.98,514.12,411.63,473.78,2431.1376
54,2021-09-13,406.19,455.12,447.01,411.63,1983.1771
55,2021-09-12,432.4,462.99,441.37,447.0,1838.4221
56,2021-09-11,430.0,463.49,436.4,441.36,2161.5884
57,2021-09-10,418.01,485.05,474.52,436.7,3195.2661
58,2021-09-09,471.14,505.59,502.95,475.99,2400.8518
59,2021-09-08,455.9,522.47,513.19,502.64,1228.3271
60,2021-09-07,465.01,601.64,595.1,513.19,3178.2867
61,2021-09-06,583.18,609.84,600.07,595.04,1200.2298
62,2021-09-05,586.89,640.61,616.81,600.48,3236.2138
63,2021-09-04,570.96,617.27,570.96,616.81,2342.5703
64,2021-09-03,567.01,587.0,582.25,570.97,1488.5911
65,2021-09-02,571.99,606.98,601.0,582.25,2272.5906
66,2021-09-01,567.01,613.46,567.02,600.14,1855.7225
67,2021-08-31,567.01,600.1,589.88,569.18,1965.1838
68,2021-08-30,574.88,636.8,610.0,582.41,3571.6892
69,2021-08-29,600.31,641.77,623.19,610.0,1696.1656
70,2021-08-28,613.41,647.0,619.0,621.48,1818.9441
71,2021-08-27,592.65,650.0,605.0,619.0,2380.6171
72,2021-08-26,585.51,657.61,648.64,605.0,3446.8853
73,2021-08-25,618.77,684.14,638.07,650.93,2338.5729
74,2021-08-24,625.0,705.22,694.98,635.76,3353.8307
75,2021-08-23,690.66,740.0,715.11,694.99,4184.9473
76,2021-08-22,683.57,717.47,685.7,714.99,2457.7951
77,2021-08-21,681.02,765.08,748.22,685.7,5763.9859
78,2021-08-20,663.0,770.0,663.0,749.99,9892.8161
79,2021-08-19,587.04,685.89,613.02,660.01,4536.6917
80,2021-08-18,603.92,660.34,633.0,613.0,3913.5939
81,2021-08-17,625.39,706.98,681.73,632.98,3959.3413
82,2021-08-16,670.0,755.0,717.3,681.83,6632.9696
83,2021-08-15,704.28,794.99,773.13,717.54,6652.306
84,2021-08-14,744.28,848.0,807.0,766.45,10463.6291
85,2021-08-13,635.0,1080.0,708.0,810.0,27194.665
86,2021-08-12,576.0,797.0,583.02,708.0,9823.0735
