,Date,Open,High,Low,Close,Volume
0,2021-11-06,7.87,8.12,7.95,8.05,36057.88
1,2021-11-05,7.81,8.49,7.92,7.96,177776.6
2,2021-11-04,7.76,8.35,8.33,7.94,137960.74
3,2021-11-03,7.73,8.47,7.89,8.33,329959.63
4,2021-11-02,7.5,8.09,7.69,7.87,190528.46
5,2021-11-01,7.42,8.01,7.78,7.7,167910.54
6,2021-10-31,7.3,7.97,7.39,7.8,240065.2
7,2021-10-30,7.28,8.0,7.6,7.39,124272.79
8,2021-10-29,7.36,7.73,7.48,7.61,107625.17
9,2021-10-28,7.26,7.78,7.48,7.48,118400.1
10,2021-10-27,7.29,8.05,7.92,7.46,142279.84
11,2021-10-26,7.88,8.29,8.1,7.89,84800.53
12,2021-10-25,7.88,8.28,7.92,8.11,55081.07
13,2021-10-24,7.88,8.31,8.3,7.92,41814.48
14,2021-10-23,8.01,8.33,8.15,8.29,42999.32
15,2021-10-22,7.97,8.37,8.0,8.16,64690.58
16,2021-10-21,7.94,8.42,8.1,8.0,80547.07
17,2021-10-20,7.8,8.46,7.9,8.11,93734.44
18,2021-10-19,7.59,8.08,7.87,7.9,90823.16
19,2021-10-18,7.69,8.07,7.99,7.87,58283.63
20,2021-10-17,7.79,8.54,7.88,7.96,107005.0
21,2021-10-16,7.72,8.24,8.11,7.89,110621.39
22,2021-10-15,7.75,8.77,8.5,8.12,159423.32
23,2021-10-14,7.73,10.0,7.85,8.52,446167.68
24,2021-10-13,7.25,7.96,7.43,7.84,61280.4
25,2021-10-12,7.09,7.55,7.53,7.43,82775.6
26,2021-10-11,7.4,8.01,7.62,7.55,88033.99
27,2021-10-10,7.61,8.13,7.95,7.63,94585.22
28,2021-10-09,7.91,8.18,7.97,7.97,67574.08
29,2021-10-08,7.92,8.36,8.29,8.0,67865.99
30,2021-10-07,8.16,8.65,8.44,8.29,105245.51
31,2021-10-06,8.02,9.05,8.46,8.45,102937.81
32,2021-10-05,8.45,9.03,8.69,8.47,110646.46
33,2021-10-04,8.1,8.84,8.75,8.69,117152.77
34,2021-10-03,8.51,9.47,8.69,8.77,86727.67
35,2021-10-02,8.48,9.04,8.87,8.71,83615.49
36,2021-10-01,7.84,9.11,8.1,8.87,135222.14
37,2021-09-30,7.51,8.46,7.54,8.09,123746.22
38,2021-09-29,7.25,7.93,7.41,7.52,93297.15
39,2021-09-28,7.34,8.02,7.73,7.43,83824.33
40,2021-09-27,7.7,8.46,8.16,7.73,104007.56
41,2021-09-26,7.71,8.76,8.53,8.15,122265.92
42,2021-09-25,8.12,8.73,8.6,8.52,94825.51
43,2021-09-24,7.96,9.8,9.65,8.59,162585.45
44,2021-09-23,8.68,9.7,8.81,9.66,113981.32
45,2021-09-22,7.68,9.12,7.8,8.81,117043.06
46,2021-09-21,7.6,9.64,8.69,7.79,200003.75
47,2021-09-20,8.21,10.31,10.3,8.73,262528.06
48,2021-09-19,10.24,11.48,11.41,10.3,149824.97
49,2021-09-18,11.33,13.3,11.58,11.35,444937.29
50,2021-09-17,10.24,11.91,10.51,11.56,291260.77
51,2021-09-16,10.01,12.0,11.59,10.51,418276.93
52,2021-09-15,8.96,12.5,9.09,11.55,691407.48
53,2021-09-14,8.72,9.16,8.84,9.07,92731.47
54,2021-09-13,8.55,10.2,9.62,8.91,158230.03
55,2021-09-12,8.51,10.25,8.63,9.61,225925.79
56,2021-09-11,8.09,9.27,8.34,8.63,193787.17
57,2021-09-10,7.45,9.3,7.85,8.3,198257.46
58,2021-09-09,7.69,8.33,7.93,7.85,86219.79
59,2021-09-08,7.33,8.32,7.95,7.93,113610.19
60,2021-09-07,6.74,10.94,9.68,7.96,350942.14
61,2021-09-06,9.18,9.75,9.63,9.68,142703.57
62,2021-09-05,8.86,9.73,8.93,9.64,145192.84
63,2021-09-04,8.77,9.07,8.83,8.9,65830.45
64,2021-09-03,8.35,9.13,8.53,8.86,113395.7
65,2021-09-02,8.47,8.94,8.92,8.52,87502.65
66,2021-09-01,8.13,8.99,8.26,8.92,102785.57
67,2021-08-31,8.17,8.78,8.69,8.3,151645.73
68,2021-08-30,8.22,11.35,8.39,8.7,368165.92
69,2021-08-29,8.16,8.8,8.37,8.43,71701.86
70,2021-08-28,8.14,8.53,8.51,8.37,58213.31
71,2021-08-27,7.83,8.66,8.02,8.5,118419.63
72,2021-08-26,7.82,9.2,9.02,8.0,145703.5
73,2021-08-25,8.5,9.68,8.81,9.0,87850.72
74,2021-08-24,8.6,9.81,9.49,8.78,102397.73
75,2021-08-23,9.2,9.83,9.23,9.52,153600.04
76,2021-08-22,8.8,9.48,9.43,9.21,101512.85
77,2021-08-21,9.14,9.84,9.53,9.41,79749.39
78,2021-08-20,9.32,9.88,9.75,9.54,143219.3
79,2021-08-19,8.41,10.64,8.63,9.8,498565.81
80,2021-08-18,8.15,9.02,8.51,8.63,84438.76
81,2021-08-17,8.33,9.2,8.61,8.38,128758.52
82,2021-08-16,8.48,9.27,8.57,8.63,141330.02
83,2021-08-15,8.19,8.95,8.94,8.55,119600.45
84,2021-08-14,8.58,9.5,8.99,8.91,213251.97
85,2021-08-13,8.3,9.86,8.97,9.01,345149.11
86,2021-08-12,8.47,9.46,8.72,8.97,297260.08
